Chapter	Character	Word Count	Percentage
Prologue	Yalb	1361	2.47
Main
1	Rysn Ftori	2659	4.83
2	Rysn Ftori	3365	6.11
3	Lopen	2660	4.83
4	Rysn Ftori	2848	5.17
5	Rysn Ftori	2768	5.02
6	Rysn Ftori	2635	4.78
Nikliasorm	883	1.6
7	Lopen	2491	4.52
8	Rysn Ftori	2037	3.7
9	Rysn Ftori	5465	9.92
10	Rysn Ftori	2782	5.05
11	Lopen	2507	4.55
12	Rysn Ftori	1528	2.77
13	Lopen	1880	3.41
14	Rysn Ftori	1035	1.88
15	Lopen	2558	4.64
Rysn Ftori	985	1.79
16	Rysn Ftori	2181	3.96
17	Lopen	536	0.97
Rysn Ftori	392	0.71
18	Lopen	860	1.56
Rysn Ftori	1313	2.38
Lopen	334	0.61
Rysn Ftori	811	1.47
19	Lopen	255	0.46
Rysn Ftori	3549	6.44
Epilogue	Lopen	1326	2.41
Rysn Ftori	1092	1.98
