
Chapter	Character	Word Count	Percentage
Prologue: To Weep	Eshonai (flashback)	2843	0.63
Part 1: United
1: Broken and Divided	Dalinar Kholin	2298	0.51
2: One Problem Solved	Adolin Kholin	592	0.13
Dalinar Kholin	2715	0.6
3: Momentum	Dalinar Kholin (flashback)	4042	0.89
4: Oaths	Dalinar Kholin	4936	1.09
5: Hearthstone	Kaladin	2278	0.5
6: Four Lifetimes	Kaladin	2432	0.54
7: A Watcher at the Rim	Kaladin	4660	1.03
8: A Powerful Lie	Shallan Davar	3470	0.76
9: The Threads of a Screw	Shallan Davar	1580	0.35
10: Distractions	Kaladin	2931	0.64
Adolin Kholin	1548	0.34
11: The Rift	Dalinar Kholin (flashback)	5594	1.23
12: Negotiations	Dalinar Kholin	6339	1.39
13: Chaperone	Shallan Davar	3859	0.85
14: Squires Can't Capture	Kaladin	961	0.21
15: Brightness Radiant	Shallan Davar	3330	0.73
16: Wrapped Three Times	Dalinar Kholin	6566	1.44
17: Trapped in Shadows	Kaladin	3162	0.7
18: Double Vision	Shallan Davar	6924	1.52
19: The Subtle Art of Diplomacy	Dalinar Kholin (flashback)	3813	0.84
20: Cords to Bind	Kaladin	1271	0.28
21: Set Up to Fall	Shallan Davar	3446	0.76
22: The Darkness Within	Shallan Davar	2127	0.47
23: Storming Strange	Kaladin	1578	0.35
24: Men of Blood and Sorrow	Dalinar Kholin	4018	0.88
25: The Girl Who Looked Up	Shallan Davar	3835	0.84
26: Blackthorn Unleashed	Dalinar Kholin (flashback)	4855	1.07
27: Playing Pretend	Shallan Davar	3550	0.78
28: Another Option	Dalinar Kholin	4162	0.92
29: No Backing Down	Shallan Davar	6344	1.4
30: Mother of Lies	Shallan Davar	990	0.22
31: Demands of the Storm	Kaladin	4786	1.05
32: Company	Shallan Davar	923	0.2
Interludes
Interlude: Puuli	Puuli	819	0.18
Interlude: Ellista	Ellista	1959	0.43
Interlude: The Rhythm of the Lost	Venli	1804	0.4
Part 2: New Beginnings Sing
33: A Lecture	Shallan Davar	1957	0.43
34: Resistance	Dalinar Kholin	4693	1.03
35: First into the Sky	Sigzil	3987	0.88
36: Hero	Dalinar Kholin (flashback)	1643	0.36
37: The Last Time We March	Rock	7782	1.71
38: Broken People	Dalinar Kholin	5932	1.31
39: Notes	Shallan Davar	3795	0.84
40: Questions, Peeks, and Inferences	Shallan Davar	3417	0.75
41: On the Ground Looking Up	Teft	1908	0.42
42: Consequences	Dalinar Kholin	2226	0.49
43: Spearman	Moash	2290	0.5
44: Bright Side	Shallan Davar	4406	0.97
45: A Revelation	Moash	2443	0.54
46: When the Dream Dies	Skar	4448	0.98
47: So Much Is Lost	Jasnah Kholin	1820	0.4
48: Rhythm of Work	Moash	2020	0.44
49: Born unto Light	Dalinar Kholin (flashback)	4021	0.88
50: Shash Thirty-seven	Dalinar Kholin	3859	0.85
51: Full Circle	Moash	1204	0.26
Shallan Davar	1225	0.27
52: After His Father	Dalinar Kholin (flashback)	2551	0.56
53: Such a Twisted Cut	Jasnah Kholin	3691	0.81
54: An Ancient Singer's Name	Moash	2786	0.61
55: Alone Together	Rlain	2872	0.63
56: Always with You	Dalinar Kholin	1985	0.44
57: Passion	Dalinar Kholin	1948	0.43
Interludes
Interlude: Kaza	Kaza	3207	0.71
Interlude: Taravangian	Taravangian	3183	0.7
Interlude: This One Is Mine	Venli	2105	0.46
Part 3: Defying Truth, Love Truth
58: Burdens	Dalinar Kholin	2247	0.49
59: Bondsmith	Dalinar Kholin	5343	1.18
60: Winds and Oaths	Kaladin	2460	0.54
61: Nightmare Made Manifest	Kaladin	4492	0.99
62: Research	Shallan Davar	4196	0.92
