
Chapter	Character	Word Count	Percentage
Prologue: To Pretend	Navani Kholin	5812	1.27
Part 1: Burdens
1: Calluses	Lirin	3918	0.86
2: Severed Cords	Kaladin	2572	0.56
Shallan Davar	1438	0.32
Kaladin	2199	0.48
3: The Fourth Bridge	Navani Kholin	3698	0.81
4: Architects of the Future	Shallan Davar	1960	0.43
5: Broken Spears	Kaladin	2689	0.59
Shallan Davar	945	0.21
Kaladin	1467	0.32
6: A Loose Thread	Shallan Davar	1102	0.24
Kaladin	582	0.13
Navani Kholin	1645	0.36
Kaladin	1469	0.32
7: The Rarest Vintage	Shallan Davar	2837	0.62
Kaladin	1384	0.3
Shallan Davar	691	0.15
8: Surrender	Kaladin	1048	0.23
Shallan Davar	1593	0.35
Kaladin	1179	0.26
9: Contradictions	Kaladin	1580	0.35
Navani Kholin	2317	0.51
Shallan Davar	2217	0.49
10: A Single Casualty	Kaladin	3483	0.76
11: Passion and Courage	Venli	4551	1
12: A Way to Help	Kaladin	6486	1.42
13: Another Hunt	Shallan Davar	6316	1.39
14: Voice	Venli	6331	1.39
15: The Light and the Music	Kaladin	6532	1.43
16: An Unknown Song	Navani Kholin	5037	1.1
17: A Proposal	Navani Kholin	5104	1.12
18: Surgeon	Kaladin	3249	0.71
19: Garnets	Navani Kholin	7516	1.65
Interludes	5718	1.25
Interlude: Sylphrena	Syl	2829	0.62
Interlude: Sja-anat	Sja-anat	1363	0.3
Interlude: Into the Fire	Taravangian	1526	0.33
Part 2: Our Calling
20: The Unseen Court	Shallan Davar	3319	0.73
21: The Seething Knot	Adolin Kholin	6222	1.36
22: No Use Talking	Adolin Kholin	5121	1.12
Shallan Davar	178	0.04
23: Binding Wounds	Kaladin	2660	0.58
24: Full of Awe	Shallan Davar	2867	0.63
25: Devotary of Mercy	Kaladin	3996	0.88
26: A Little Espionage	Shallan Davar	7343	1.61
27: Banners	Navani Kholin	3813	0.84
28: Heresies	Navani Kholin	1448	0.32
29: A Cage Without Bars	Adolin Kholin	1951	0.43
Shallan Davar	1273	0.28
Adolin Kholin	1770	0.39
30: The Betrayal	Shallan Davar	1145	0.25
Adolin Kholin	931	0.2
Shallan Davar	675	0.15
Adolin Kholin	1475	0.32
31: Daughter of Traitors	Venli	2163	0.47
32: Of Three Minds	Adolin Kholin	580	0.13
Shallan Davar	2188	0.48
33: Understanding	Kaladin	695	0.15
34: A Flame Never Extinguished	Shallan Davar	4886	1.07
35: The Strength of a Soldier	Adolin Kholin	954	0.21
Shallan Davar	658	0.14
Adolin Kholin	3310	0.73
36: The Price of Honor	Shallan Davar	2548	0.56
Adolin Kholin	1537	0.34
37: Silence From the Dead	Navani Kholin	2110	0.46
Venli	965	0.21
Kaladin	1029	0.23
Venli	850	0.19
38: Rhythm of the Terrors	Navani Kholin	585	0.13
Venli	733	0.16
Kaladin	1690	0.37
Venli	271	0.06
39: Invasion	Kaladin	591	0.13
Navani Kholin	695	0.15
Kaladin	1641	0.36
Navani Kholin	948	0.21
Kaladin	1313	0.29
