Chapter	Character	Word Count	Percentage
Prelude to the Stormlight Archive	Kalak	1290	0.3357
Prologue: To Kill	Szeth-son-son-Vallano	6128	1.5947
Part One: Above Silence
1: Stormblessed	Cenn	4510	1.1737
2: Honor is Dead	Kaladin	5023	1.3072
3: City of Bells	Shallan Davar	5279	1.3738
4: The Shattered Plains	Kaladin	4100	1.0670
5: Heretic	Shallan Davar	3994	1.0394
6: Bridge Four	Kaladin	7184	1.8695
7: Anything Reasonable	Shallan Davar	6146	1.5994
8: Nearer the Flame	Shallan Davar	6887	1.7923
9: Damnation	Kaladin	2316	0.6027
10: Stories of Surgeons	Kaladin (flashback)	2290	0.5959
11: Droplets	Kaladin	3160	0.8223
Interludes
Interlude: Ishikk	Ishikk	2058	0.5356
Interlude: Nan Balat	Balat Davar	1344	0.3498
Interlude: The Glory of Ignorance	Szeth-son-son-Vallano	2017	0.5249
Part Two: The Illuminating Storms
12: Unity	Adolin Kholin	1402	0.3649
Dalinar Kholin	1692	0.4403
Adolin Kholin	4535	1.1802
13: Ten Heartbeats	Dalinar Kholin	2626	0.6834
Adolin Kholin	726	0.1889
14: Payday	Kaladin	3872	1.0076
15: The Decoy	Adolin Kholin	635	0.1653
Dalinar Kholin	3493	0.9090
Adolin Kholin	4134	1.0758
Dalinar Kholin	889	0.2314
16: Cocoons	Kaladin (flashback)	5600	1.4573
17: A Bloody, Red Sunset	Kaladin	6974	1.8149
18: Highprince of War	Adolin Kholin	1107	0.2881
Dalinar Kholin	2193	0.5707
Adolin Kholin	1481	0.3854
Dalinar Kholin	3638	0.9467
19: Starfalls	Dalinar Kholin	5936	1.5448
20: Scarlet	Kaladin (flashback)	748	0.1947
21: Why Men Lie	Kaladin	4364	1.1357
22: Eyes, Hands or Spheres	Dalinar Kholin	5671	1.4758
23: Many Uses	Kaladin	5422	1.4110
24: The Gallery of Maps	Dalinar Kholin	2137	0.5561
Adolin Kholin	1336	0.3477
25: The Butcher	Kaladin (flashback)	3285	0.8549
26: Stillness	Dalinar Kholin	6587	1.7142
27: Chasm Duty	Kaladin	9105	2.3695
28: Decision	Adolin Kholin	3157	0.8216
Dalinar Kholin	6403	1.6663
Interludes
Interlude: Rysn	Rysn	2768	0.7203
Interlude: Axies the Collector	Axies the Collector	2100	0.5465
Interlude: A Work of Art	Szeth-son-son-Vallano	3471	0.9033
Part Three: Dying
29: Errorgance	Shallan Davar	6562	1.7077
30: Darkness Unseen	Kaladin	328	0.0854
Gaz	1046	0.2722
Kaladin	1862	0.4846
Gaz	401	0.1044
31: Beneath the Skin	Kaladin (flashback)	1994	0.5189
32: Side Carry	Kaladin	4813	1.2525
33: Cymatics	Shallan Davar	5708	1.4854
34: Stormwall	Kaladin	1981	0.5155
35: A Light by Which to See	Kaladin	1197	0.3115
Teft	697	0.1814
36: The Lesson	Shallan Davar	5441	1.4159
37: Sides	Kaladin (flashback)	5810	1.5120
38: Envisager	Kaladin	721	0.1876
Teft	992	0.2582
39: Burned into Her	Shallan Davar	3770	0.9811
40: Eyes of Red and Blue	Kaladin	5077	1.3212
41: Of Alds and Milp	Kaladin (flashback)	2070	0.5387
42: Beggars and Barmaids	Shallan Davar	5419	1.4102
43: The Wretch	Kaladin	4544	1.1825
44: The Weeping	Kaladin (flashback)	4720	1.2283
45: Shadesmar	Shallan Davar	7799	2.0296
46: Child of Tanavast	Kaladin	7135	1.8568
47: Stormblessings	Kaladin (flashback)	4879	1.2697
48: Strawberry	Shallan Davar	3422	0.8905
49: To Care	Kaladin	3513	0.9142
50: Backbreaker Powder	Shallan Davar	1237	0.3219
51: Sas Nahn	Kaladin (flashback)	1882	1.7077
Interludes
Interlude: Baxil	Baxil	1267	0.3297
Interlude: Geranid	Geranid	1446	0.3763
Interlude: Death Wears White	Szeth-son-son-Vallano	2884	0.7505
Part Four: Storm's Illumination
52: A Highway to the Sun	Adolin Kholin	740	0.1926
Dalinar Kholin	6235	1.6226
53: Dunny	Kaladin	2658	0.6917
54: Gibletish	Dalinar Kholin	5548	1.4438
55: An Emerald Broam	Kaladin	5801	1.5096
56: That Storming Book	Dalinar Kholin	4740	1.2335
57: Wandersail	Kaladin	8868	2.3078
58: The Journey	Adolin Kholin	2242	0.5835
Dalinar Kholin	5121	1.3327
59: An Honor	Kaladin	6553	1.7053
60: That Which We Cannot Have	Dalinar Kholin	4129	1.0745
61: Right for Wrong	Dalinar Kholin	3123	0.8127
62: Three Glyphs	Kaladin	5108	1.3293
63: Fear	Kaladin	2111	0.5494
64: A Man of Extremes	Dalinar Kholin	1728	0.4497
Kaladin	535	0.1392
Adolin Kholin	870	0.2264
65: The Tower	Dalinar Kholin	1072	0.2790
Kaladin	796	0.2071
Dalinar Kholin	2076	0.5403
66: Codes	Kaladin	890	0.2316
Dalinar Kholin	1574	0.4096
67: Words	Kaladin	2126	0.5533
Dalinar Kholin	780	0.2030
Kaladin	1612	0.4195
Kaladin (flashback)	1944	0.5059
Kaladin	669	0.1741
Teft	146	0.0380
68: Eshonai	Adolin Kholin	269	0.0700
Teft	417	0.1085
Dalinar Kholin	1375	0.3578
Kaladin	2501	0.6509
Dalinar Kholin	377	0.0981
Kaladin	320	0.0833
Dalinar Kholin	1430	0.3721
69: Justice	Navani Kholin	1669	0.4343
Dalinar Kholin	2552	0.6641
Kaladin	1072	0.2790
Dalinar Kholin	2328	0.6058
Part Five: The Silence Above
70: Sea of Glass	Shallan Davar	2397	0.6238
71: Recorded in Blood	Szeth-son-son-Vallano	2561	0.6665
72: Veristitalian	Shallan Davar	807	0.2100
73: Trust	Kaladin	3400	0.8848
74: Ghostblood	Shallan Davar	942	0.2451
75: In the Top Room	Dalinar Kholin	1948	0.5069
Epilogue: Of Most Worth	Wit	1595	0.4151
