
Chapter	Character	Word Count	Percentage
Prologue: To Question	Jasnah Kholin	5283	1.33
Part One: Alight
1: Santhid	Shallan Davar	7930	1.98
2: Bridge Four	Kaladin	5471	1.37
3: Pattern	Shallan Davar	2849	0.72
4: Taker of Secrets	Dalinar Kholin	4285	1.08
5: Ideals	Kaladin	1846	0.46
Torol Sadeas	771	0.19
Kaladin	5883	1.48
6: Terrible Destruction	Shallan Davar	4424	1.11
7: Open Flame	Shallan Davar	2217	0.56
8: Knives in the Back • Soldiers on the Field	Dalinar Kholin	2618	0.66
9: Walking the Grave	Kaladin	3008	0.76
10: Red Carpet Once White	Shallan Davar (flashback)	322	0.08
11: An Illusion of Perception	Shallan Davar	4062	1.02
12: Hero	Kaladin	4531	1.14
Interludes
Interlude: Narak	Eshonai	3540	0.89
Interlude: Ym	Ym	2986	0.75
Interlude: Rysn	Rysn	7602	1.91
Interlude: Last Legion	Eshonai	4209	1.06
Part Two: Winds' Approach
13: The Day's Masterpiece	Shallan Davar	2731	0.69
14: Ironstance	Adolin Kholin	2922	0.73
15: A Hand with the Tower	Shallan Davar	2256	0.57
16: Swordmaster	Kaladin	4464	1.12
17: A Pattern	Shallan Davar	4848	1.22
18: Bruises	Kaladin	3877	0.97
19: Safe Things	Shallan Davar (flashback)	1447	0.36
20: The Coldness of Clarity	Shallan Davar	2862	0.72
21: Ashes	Shallan Davar	2371	0.60
22: Lights in the Storm	Kaladin	4476	1.12
23: Assassin	Kaladin	1889	0.47
24: Tyn	Shallan Davar	4344	1.09
25: Monsters	Kaladin	4356	1.09
26: The Feather	Adolin Kholin	3790	0.95
27: Fabrications to Distract	Shallan Davar (flashback)	867	0.22
28: Boots	Shallan Davar	2831	0.71
29: Rule of Blood	Torol Sadeas	3191	0.80
30: Nature Blushing	Shallan Davar	2592	0.65
31: The Stillness Before	Kaladin	880	0.22
Shallan Davar	1392	0.35
32: The One Who Hates	Kaladin	758	0.19
Shallan Davar	84	0.02
Kaladin	2487	0.62
33: Burdens	Kaladin	1856	0.47
Adolin Kholin	252	0.06
Kaladin	824	0.21
34: Blossoms and Cake	Shallan Davar	2772	0.70
Interludes
Interlude: The Rider of Storms	Eshonai	1381	0.35
Interlude: Zahel	Zahel	434	0.11
Interlude: Taln	Talenel	915	0.23
Interlude: A Form of Power	Eshonai	607	0.15
Part Three: Deadly
35: The Multiplied Strain of Simultaneous Infusion	Adolin Kholin	2120	0.53
Navani Kholin	2522	0.63
36: A New Woman	Shallan Davar	4614	1.16
37: A Matter of Perspective	Adolin Kholin	2624	0.66
